,,ナビデータ中身
2019/11/10,12:04:35,CVGPSR003FB03000492000492037461848140293553+059019230515+00030120434114
2019/11/10,12:04:36,CVGPSR003FB03000492000492037461857140293537+059017730896+00030120435114
2019/11/10,12:04:39,CVGPSR003FB03000492000492037461867140293518+060018330649+00030120436114
2019/11/10,12:04:39,CVGPSR003FB03000492000492037461878140293503+060019130577+00030120437114
2019/11/10,12:04:39,CVGPSR003FB03000492000492037461889140293481+060019530604+00030120438114
2019/11/10,12:04:40,CVGPSR003FB03000492000492037461900140293462+059019430599+00030120439114
2019/11/10,12:04:41,CVGPSR003FB03000494000494037461909140293443+060015830511+00030120440114
2019/11/10,12:04:43,CVGPSR003FB03000499000499037461917140293428+060016230470+00030120441114
2019/11/10,12:04:43,CVGPSR003FB03000504000504037461926140293412+060015230737+00030120442114
2019/11/10,12:04:44,CVGPSR003FB03000508000508037461934140293400+060014130758+00030120443114
2019/11/10,12:04:45,CVGPSR003FB03000514000514037461940140293384+060014830563+00030120444114
2019/11/10,12:04:46,CVGPSR003FB03000519000519037461950140293371+060015830635+00030120445114
2019/11/10,12:04:47,CVGPSR003FB03000524000524037461959140293356+060016630980+00030120446114
2019/11/10,12:04:49,CVGPSR003FB03000529000529037461968140293340+060017731215+00030120447114
2019/11/10,12:04:49,CVGPSR003FB03000535000535037461979140293325+060018431165+00030120448114
2019/11/10,12:04:50,CVGPSR003FB03000540000540037461990140293309+060018131264+00030120449114
2019/11/10,12:04:51,CVGPSR003FB03000544000544037462001140293296+061017731430+00030120450114
2019/11/10,12:04:52,CVGPSR003FB03000550000550037462012140293281+061018431426+00030120451114
2019/11/10,12:04:54,CVGPSR003FB03000555000555037462023140293265+061019031407+00030120452114
2019/11/10,12:04:55,CVGPSR003FB03000560000560037462034140293250+062019131235+00030120453114
2019/11/10,12:04:57,CVGPSR003FB03000565000565037462045140293234+062018831271+00030120454114
2019/11/10,12:04:57,CVGPSR003FB03000570000570037462057140293218+062018531315+00030120455114
2019/11/10,12:04:57,CVGPSR003FB03000575000575037462068140293203+062018231282+00030120456114
2019/11/10,12:04:58,CVGPSR003FB03000580000580037462079140293187+063018731319+00030120457114
2019/11/10,12:05:00,CVGPSR003FB03000585000585037462090140293171+063018331236+00030120458114
2019/11/10,12:05:00,CVGPSR003FB03000590000590037462101140293156+063019331130+00030120459114
2019/11/10,12:05:01,CVGPSR003FB03000595000595037462114140293140+064019431083+00030120500114
2019/11/10,12:05:02,CVGPSR003FB03000605000605037462125140293121+064019231061+00030120501114
2019/11/10,12:05:03,CVGPSR003FB03000609000609037462134140293106+064017330871+00030120502114
2019/11/10,12:05:05,CVGPSR003FB03000614000614037462143140293090+064016830617+00030120503114
2019/11/10,12:05:05,CVGPSR003FB03000619000619037462153140293075+064017330394+00030120504114
2019/11/10,12:05:12,CVGPSR003FB03000640000640037462160140293059+065017830146+00030120505114
2019/11/10,12:05:14,CVGPSR003FB03000649000649037462200140292971+065017629795+00030120510114
2019/11/10,12:05:14,CVGPSR003FB03000649000649037462185140293006+065017629720+00030120508114
2019/11/10,12:05:14,CVGPSR003FB03000640000640037462170140293040+065018029969+00030120506114
