,,ナビデータ中身
2019/11/10,12:04:01,CVNAVR103FB03000147000147037461650140293668+029000028496+00070120400008
2019/11/10,12:04:03,CVNAVR103FB03000147000147037461650140293668+029000028497+00070120401008
2019/11/10,12:04:03,CVNAVR103FB03000147000147037461650140293668+029000028496+00070120402008
2019/11/10,12:04:04,CVNAVR103FB03000147000147037461650140293668+029000028494+00070120403008
2019/11/10,12:04:06,CVNAVR103FB03000147000147037461650140293668+029000028492+00070120404008
2019/11/10,12:04:06,CVNAVR103FB03000147000147037461650140293668+029000028491+00070120405008
2019/11/10,12:04:07,CVNAVR103FB03000147000147037461650140293668+029000028486+00070120406008
2019/11/10,12:04:08,CVNAVR103FB03000147000147037461650140293668+029000028488+00070120407008
2019/11/10,12:04:09,CVNAVR103FB03000147000147037461650140293668+029000028488+00070120408008
2019/11/10,12:04:10,CVNAVR103FB03000147000147037461650140293668+029000028489+00070120409008
2019/11/10,12:04:11,CVNAVR103FB03000147000147037461650140293668+029000028489+00070120410008
2019/11/10,12:04:12,CVNAVR103FB03000147000147037461650140293668+029000028488+00070120411008
2019/11/10,12:04:13,CVNAVR103FB03000147000147037461650140293668+029000028487+00070120412008
2019/11/10,12:04:15,CVNAVR103FB03000147000147037461650140293668+029000028485+00070120413008
2019/11/10,12:04:15,CVNAVR103FB03000147000147037461650140293668+029000028485+00070120414008
2019/11/10,12:04:16,CVNAVR103FB03000147000147037461650140293668+029000028484+00070120415008
2019/11/10,12:04:18,CVNAVR103FB03000147000147037461650140293668+029000028485+00070120416008
2019/11/10,12:04:18,CVNAVR103FB03000147000147037461650140293668+029000028483+00070120417008
2019/11/10,12:04:19,CVNAVR103FB03000147000147037461650140293668+029000028483+00070120418008
2019/11/10,12:04:21,CVNAVR103FB03000147000147037461650140293668+029000028483+00070120419008
2019/11/10,12:04:22,CVNAVR103FB03000147000147037461650140293668+029000028483+00070120420008
2019/11/10,12:04:22,CVNAVR103FB03000147000147037461650140293668+029000028484+00070120421008
2019/11/10,12:04:24,CVNAVR103FB03000147000147037461650140293668+029000028483+00070120422008
2019/11/10,12:04:24,CVNAVR103FB03000147000147037461650140293668+029000028481+00070120423008
2019/11/10,12:04:25,CVNAVR103FB03000147000147037461650140293668+029000028482+00070120424008
2019/11/10,12:04:35,CVNAVR103FB03000185000185037461650140293668+029000028485+00070120426008
2019/11/10,12:04:35,CVNAVR103FB03000185000185037461650140293668+029000028482+00070120425008
2019/11/10,12:04:35,CVNAVR103FB03000185000185037461653140293640+029012728028+00070120429008
2019/11/10,12:04:35,CVNAVR103FB03000185000185037461650140293665+029003128252+00070120427008
2019/11/10,12:04:35,CVNAVR103FB03000185000185037461651140293656+029007528127+00070120428008
2019/11/10,12:04:35,CVNAVR103FB03000461000461037461810140293609+028020128225+00070120431108
2019/11/10,12:04:35,CVNAVR103FB03000461000461037461825140293581+028020530050+00070120432108
2019/11/10,12:04:35,CVNAVR103FB03000461000461037461831140293565+028019930050+00070120433108
2019/11/10,12:04:35,CVNAVR103FB03000465000465037461656140293628+029016828413+00070120430008
2019/11/10,12:04:35,CVNAVR103FB03000465000465037461840140293546+029019330050+00070120434108
2019/11/10,12:04:35,CVNAVR103FB03000465000465037461840140293546+029019330050+00070120434108
2019/11/10,12:04:36,CVNAVR103FB03000470000470037461846140293534+029018731058+00070120435108
2019/11/10,12:04:38,CVNAVR103FB03000475000475037461857140293512+028018730050+00070120436108
2019/11/10,12:04:39,CVNAVR103FB03000485000485037461868140293490+028019130611+00070120437108
2019/11/10,12:04:41,CVNAVR103FB03000490000490037461881140293468+028019330611+00070120438108
2019/11/10,12:04:42,CVNAVR103FB03000500000500037461893140293446+028019330611+00070120439108
2019/11/10,12:04:42,CVNAVR103FB03000510000510037461903140293431+028018030611+00070120440108
2019/11/10,12:04:42,CVNAVR103FB03000509000509037461912140293412+028016330611+00070120441108
2019/11/10,12:04:43,CVNAVR103FB03000512000512037461918140293403+027015230611+00070120442108
2019/11/10,12:04:44,CVNAVR103FB03000512000512037461925140293393+027014130795+00070120443108
2019/11/10,12:04:45,CVNAVR103FB03000518000518037461934140293378+028014530795+00070120444108
2019/11/10,12:04:46,CVNAVR103FB03000523000523037461943140293362+028015530795+00070120445108
2019/11/10,12:04:47,CVNAVR103FB03000529000529037461953140293346+028016630795+00070120446108
2019/11/10,12:04:48,CVNAVR103FB03000534000534037461962140293331+027017630795+00070120447108
2019/11/10,12:04:49,CVNAVR103FB03000540000540037461971140293315+028018231403+00070120448108
2019/11/10,12:04:50,CVNAVR103FB03000545000545037461984140293300+028018331403+00070120449108
2019/11/10,12:04:51,CVNAVR103FB03000549000549037461996140293287+028017631403+00070120450108
