,,ナビデータ中身
2019/11/10,12:02:56,CVGPSR001FC01000510000470037461918140293368+067000030221-04070120255114
2019/11/10,12:02:57,CVGPSR001FC01000510000470037461918140293368+067000030222-04070120256114
2019/11/10,12:02:58,CVGPSR001FC01000510000470037461918140293368+067000030222-04070120257114
2019/11/10,12:02:59,CVGPSR001FC01000510000470037461918140293368+067000030220-04070120258114
2019/11/10,12:03:00,CVGPSR001FC01000510000470037461918140293368+067000030218-04070120259114
2019/11/10,12:03:01,CVGPSR001FC01000510000470037461918140293368+067000030218-04070120300114
2019/11/10,12:03:02,CVGPSR001FC01000510000470037461918140293368+067000030218-04070120301114
2019/11/10,12:03:03,CVGPSR001FC01000510000470037461918140293368+067000030218-04070120302114
2019/11/10,12:03:04,CVGPSR001FC01000510000470037461918140293368+067000030218-04070120303114
2019/11/10,12:03:05,CVGPSR001FC01000510000470037461918140293368+067000030217-04070120304114
2019/11/10,12:03:06,CVGPSR001FC01000510000470037461918140293368+067000030214-04070120305114
2019/11/10,12:03:07,CVGPSR001FC01000510000470037461918140293368+067000030214-04070120306114
2019/11/10,12:03:08,CVGPSR001FC01000510000470037461918140293368+067000030215-04070120307114
2019/11/10,12:03:09,CVGPSR001FC01000510000470037461918140293368+067000030215-04070120308114
2019/11/10,12:03:10,CVGPSR001FC01000510000470037461918140293368+067000030215-04070120309114
2019/11/10,12:03:11,CVGPSR001FC01000510000470037461918140293368+067000030213-04070120310114
2019/11/10,12:03:12,CVGPSR001FC01000510000470037461918140293368+067000030213-04070120311114
2019/11/10,12:03:13,CVGPSR001FC01000510000470037461918140293368+067000030214-04070120312114
2019/11/10,12:03:14,CVGPSR001FC01000510000470037461918140293368+067000030213-04070120313114
2019/11/10,12:03:15,CVGPSR001FC01000510000470037461918140293368+067000030212-04070120314114
2019/11/10,12:03:16,CVGPSR001FC01000510000470037461918140293368+067000030210-04070120315114
2019/11/10,12:03:17,CVGPSR001FC01000510000470037461918140293368+067000030207-04070120316114
2019/11/10,12:03:18,CVGPSR001FC01000510000470037461918140293368+067000030206-04070120317114
2019/11/10,12:03:19,CVGPSR001FC01000510000470037461918140293368+067000030207-04070120318114
2019/11/10,12:03:20,CVGPSR001FC01000510000470037461918140293368+067000030207-04070120319114
2019/11/10,12:03:21,CVGPSR001FC01000510000470037461918140293368+067000030207-04070120320114
2019/11/10,12:03:22,CVGPSR001FC01000510000470037461918140293368+067000030206-04070120321114
2019/11/10,12:03:23,CVGPSR001FC01000510000470037461918140293368+067000030206-04070120322114
2019/11/10,12:03:24,CVGPSR001FC01000510000470037461918140293368+067000030206-04070120323114
