,,ナビデータ中身
2019/11/10,12:03:40,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120338108
2019/11/10,12:03:41,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120339108
2019/11/10,12:03:42,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120340108
2019/11/10,12:03:43,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120341108
2019/11/10,12:03:44,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120342108
2019/11/10,12:03:45,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120343108
2019/11/10,12:03:46,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120344108
2019/11/10,12:03:47,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120345108
2019/11/10,12:03:48,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120346108
2019/11/10,12:03:49,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120347107
2019/11/10,12:03:50,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120348107
2019/11/10,12:03:51,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120349108
2019/11/10,12:03:52,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120350107
2019/11/10,12:03:53,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120351107
2019/11/10,12:03:54,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120352107
2019/11/10,12:03:55,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120353107
2019/11/10,12:03:56,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120354107
2019/11/10,12:03:57,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120355108
2019/11/10,12:03:58,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120356108
2019/11/10,12:03:59,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120357108
2019/11/10,12:04:00,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120358107
2019/11/10,12:04:01,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120359107
2019/11/10,12:04:02,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120400107
2019/11/10,12:04:03,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120401108
2019/11/10,12:04:04,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120402107
2019/11/10,12:04:05,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120403107
2019/11/10,12:04:06,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120404107
2019/11/10,12:04:07,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120405107
2019/11/10,12:04:08,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120406107
2019/11/10,12:04:09,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120407107
2019/11/10,12:04:10,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120408107
2019/11/10,12:04:11,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120409107
2019/11/10,12:04:12,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120410107
2019/11/10,12:04:13,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120411107
2019/11/10,12:04:14,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120412107
2019/11/10,12:04:16,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120413107
2019/11/10,12:04:16,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120414107
2019/11/10,12:04:17,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120415107
2019/11/10,12:04:18,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120416108
2019/11/10,12:04:19,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120417108
2019/11/10,12:04:20,CVNAVR101FC01000511000471037461934140293378+016000030795-04070120418108
2019/11/10,12:04:21,CVNAVR101FC01000511000471037461934140293375+016001030795-04070120419108
2019/11/10,12:04:22,CVNAVR101FC01000511000471037461934140293375+016000730795-04070120420108
2019/11/10,12:04:23,CVNAVR101FC01000516000476037461939140293368+016005430795-04070120421108
2019/11/10,12:04:24,CVNAVR101FC01000519000479037461942140293362+016008430795-04070120422108
2019/11/10,12:04:25,CVNAVR101FC01000520000480037461948140293356+015009430795-04070120423108
2019/11/10,12:04:26,CVNAVR101FC01000522000482037461953140293346+016009130795-04070120424108
2019/11/10,12:04:27,CVNAVR101FC01000525000485037461957140293337+015008930795-04070120425108
2019/11/10,12:04:28,CVNAVR101FC01000527000487037461964140293328+015008830795-04070120426107
