ì˙ït,,,,,NAVIÉfÅ[É^,ë¨ìxÉiÉ},éûä‘ÉiÉ},éûä‘,NAV/GPS,ë¨ìx(km/h),à‹ìx,åoìx
2019/11/10,48:29.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333736303031333732303033373433353435343134303233313931322B3134383031383233353431392D303430373031323438323931313503,30313832,3.13234E+11,12:48:29,GPS,18.2,37ìx43ï™54.54ïb,140ìx23ï™19.12ïb
2019/11/10,48:31.0,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333736353031333732353033373433353437303134303233313930362B3134383031383033353433322D303430373031323438333031313503,30313830,3.13234E+11,12:48:30,GPS,18,37ìx43ï™54.7ïb,140ìx23ï™19.06ïb
2019/11/10,48:31.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333736383031333732383033373433353438353134303233313930332B3134393031373833353434322D303430373031323438333131313503,30313738,3.13234E+11,12:48:31,GPS,17.8,37ìx43ï™54.85ïb,140ìx23ï™19.03ïb
2019/11/10,48:32.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333736393031333732393033373433353530313134303233313839362B3134393031373833353436322D303430373031323438333231313503,30313738,3.13234E+11,12:48:32,GPS,17.8,37ìx43ï™55.01ïb,140ìx23ï™18.96ïb
2019/11/10,48:33.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333737353031333733353033373433353531373134303233313839302B3134393031383133353438312D303430373031323438333331313503,30313831,3.13234E+11,12:48:33,GPS,18.1,37ìx43ï™55.17ïb,140ìx23ï™18.9ïb
2019/11/10,48:34.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333738303031333734303033373433353533323134303233313838342B3134383031383433353531312D303430373031323438333431313503,30313834,3.13234E+11,12:48:34,GPS,18.4,37ìx43ï™55.32ïb,140ìx23ï™18.84ïb
2019/11/10,48:35.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333739303031333735303033373433353535303134303233313838312B3134383031383533353533362D303430373031323438333531313503,30313835,3.13234E+11,12:48:35,GPS,18.5,37ìx43ï™55.5ïb,140ìx23ï™18.81ïb
2019/11/10,48:37.0,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333739353031333735353033373433353536353134303233313837352B3134393031373933353533362D303430373031323438333631313503,30313739,3.13234E+11,12:48:36,GPS,17.9,37ìx43ï™55.65ïb,140ìx23ï™18.75ïb
2019/11/10,48:37.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333739353031333735353033373433353537393134303233313836382B3134393031373033353437322D303430373031323438333731313503,30313730,3.13234E+11,12:48:37,GPS,17,37ìx43ï™55.79ïb,140ìx23ï™18.68ïb
2019/11/10,48:38.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333739393031333735393033373433353539333134303233313836352B3134393031363333353435302D303430373031323438333831313503,30313633,3.13234E+11,12:48:38,GPS,16.3,37ìx43ï™55.93ïb,140ìx23ï™18.65ïb
2019/11/10,48:39.8,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333830343031333736343033373433353630373134303233313835392B3134393031353533353434382D303430373031323438333931313503,30313535,3.13234E+11,12:48:39,GPS,15.5,37ìx43ï™56.07ïb,140ìx23ï™18.59ïb
2019/11/10,48:40.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333830393031333736393033373433353632303134303233313835362B3134393031343933353435312D303430373031323438343031313503,30313439,3.13234E+11,12:48:40,GPS,14.9,37ìx43ï™56.2ïb,140ìx23ï™18.56ïb
2019/11/10,48:41.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333831343031333737343033373433353633323134303233313835302B3134393031343633353435342D303430373031323438343131313503,30313436,3.13234E+11,12:48:41,GPS,14.6,37ìx43ï™56.32ïb,140ìx23ï™18.5ïb
2019/11/10,48:43.5,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333831393031333737393033373433353634363134303233313834362B3134393031353033353439342D303430373031323438343231313503,30313530,3.13234E+11,12:48:42,GPS,15,37ìx43ï™56.46ïb,140ìx23ï™18.46ïb
2019/11/10,48:43.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333832343031333738343033373433353636303134303233313834302B3134393031353633353532302D303430373031323438343331313503,30313536,3.13234E+11,12:48:43,GPS,15.6,37ìx43ï™56.6ïb,140ìx23ï™18.4ïb
2019/11/10,48:44.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333832373031333738373033373433353637333134303233313833372B3134393031353733353531362D303430373031323438343431313503,30313537,3.13234E+11,12:48:44,GPS,15.7,37ìx43ï™56.73ïb,140ìx23ï™18.37ïb
2019/11/10,48:45.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333832393031333738393033373433353638353134303233313833312B3134393031353433353531312D303430373031323438343531313503,30313534,3.13234E+11,12:48:45,GPS,15.4,37ìx43ï™56.85ïb,140ìx23ï™18.31ïb
2019/11/10,48:46.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333833343031333739343033373433353730303134303233313832382B3134393031353133353438312D303430373031323438343631313503,30313531,3.13234E+11,12:48:46,GPS,15.1,37ìx43ï™57ïb,140ìx23ï™18.28ïb
2019/11/10,48:47.9,[INFO],[tid:,38][eid:,0]02435647505352303031464330313031333833393031333739393033373433353731343134303233313832312B3134393031353833353437342D303430373031323438343731313503,30313538,3.13234E+11,12:48:47,GPS,15.8,37ìx43ï™57.14ïb,140ìx23ï™18.21ïb
2019/11/10,48:49.7,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333834343031333830343033373433353732393134303233313831352B3134393031363933353439342D303430373031323438343831313503,30313639,3.13234E+11,12:48:48,GPS,16.9,37ìx43ï™57.29ïb,140ìx23ï™18.15ïb
2019/11/10,48:49.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333834393031333830393033373433353734353134303233313831322B3134393031373733353435332D303430373031323438343931313503,30313737,3.13234E+11,12:48:49,GPS,17.7,37ìx43ï™57.45ïb,140ìx23ï™18.12ïb
2019/11/10,48:50.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333835353031333831353033373433353736303134303233313830362B3134393031383233353435392D303430373031323438353031313503,30313832,3.13234E+11,12:48:50,GPS,18.2,37ìx43ï™57.6ïb,140ìx23ï™18.06ïb
2019/11/10,48:51.9,[INFO],[tid:,16][eid:,0]02435647505352303031464330313031333836303031333832303033373433353737363134303233313830302B3134393031383633353438332D303430373031323438353131313503,30313836,3.13234E+11,12:48:51,GPS,18.6,37ìx43ï™57.76ïb,140ìx23ï™18ïb
