,,ナビデータ中身
2019/11/10,12:02:50,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120249114
2019/11/10,12:02:51,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120250114
2019/11/10,12:02:52,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120251114
2019/11/10,12:02:53,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120252114
2019/11/10,12:02:54,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120253114
2019/11/10,12:02:55,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120254114
2019/11/10,12:02:56,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120255114
2019/11/10,12:02:57,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120256114
2019/11/10,12:02:58,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120257114
2019/11/10,12:02:59,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120258114
2019/11/10,12:03:00,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120259114
2019/11/10,12:03:01,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120300114
2019/11/10,12:03:02,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120301114
2019/11/10,12:03:03,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120302114
2019/11/10,12:03:04,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120303114
2019/11/10,12:03:05,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120304114
2019/11/10,12:03:06,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120305114
2019/11/10,12:03:07,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120306114
2019/11/10,12:03:08,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120307114
2019/11/10,12:03:09,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120308114
2019/11/10,12:03:10,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120309114
2019/11/10,12:03:11,CVGPSR002FC02000340000325037461879140293709+064000016141-01570120310114
